model,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_conditions_count,rules_count,measure,dataset
XGB_1,0.9842417979850168,0.9855371900826446,0.8597487126838737,0.8983570646221248,0.8201039618405345,0.8551610627792147,0.1254786744142619,0.1449870454083977,0.8597487126838737,0.8983570646221248,0.39,0.99,2.84,131,c2,wilt
RMatrix_C2,0.94725,0.914,0.8028037383177571,0.7523031120098865,0.7268007198995248,0.625644240144867,0.1915025149314926,0.1709578724265734,0.8028037383177571,0.7523031120098865,0.41,0.98,6.11,126,,churn
RF_2,0.8357622021744159,0.8177613320999075,0.7467695781363475,0.7190766297815906,0.5574005231600714,0.4982174877062024,0.1645678649622141,0.1286267237805101,0.7467695781363475,0.7190766297815906,0.4,0.97,5.5,788,c2,phoneme
SVC_0,0.8343742771223688,0.8399629972247918,0.7456601949159012,0.7406607150558502,0.5550824873205895,0.5441164640523035,0.1640649777097305,0.1464959911326,0.7456601949159012,0.7406607150558502,0.4,0.97,5.5,788,c2,phoneme
XGB_2,0.8357622021744159,0.8038852913968547,0.7467695781363475,0.7054996982892183,0.5574005231600714,0.468009341151673,0.1645678649622141,0.1156653045051494,0.7467695781363475,0.7054996982892183,0.4,0.97,5.5,788,c2,phoneme
RMatrix_C2,0.9486709440879928,0.9404761904761904,0.937651433636092,0.939421903471809,0.9222874241833424,0.9102517578542356,0.9718612451096896,0.9452840333990368,0.937651433636092,0.939421903471809,0.76,0.96,5.05,95,,wall-robot-navigation
RF_1,0.998615171564856,0.9987692307692309,0.9985641352903638,0.9987212276214834,0.997226566224782,0.9975347598856128,0.6829250168908163,0.6837716714640691,0.9985641352903638,0.9987212276214834,0.48,1.0,2.9,10,c2,mushroom
SVC_1,0.998615171564856,0.9987692307692309,0.9985641352903638,0.9987212276214834,0.997226566224782,0.9975347598856128,0.6829250168908163,0.6837716714640691,0.9985641352903638,0.9987212276214834,0.48,1.0,2.9,10,c2,mushroom
XGB_2,0.998615171564856,0.9987692307692309,0.9985641352903638,0.9987212276214834,0.997226566224782,0.9975347598856128,0.6829250168908163,0.6837716714640691,0.9985641352903638,0.9987212276214834,0.48,1.0,2.9,10,c2,mushroom
RF_1,0.9001543507621069,0.9151234567901234,0.6934800286947189,0.7011009526031987,0.8523202978808365,0.8740091788767409,0.910740359508971,0.9222367466013416,0.6934800286947189,0.7011009526031987,0.18,0.96,4.68,57,c2,nursery
SVC_0,0.9001543507621069,0.9058641975308642,0.6934800286947189,0.6972304936719895,0.8523202978808365,0.8606057239885425,0.910740359508971,0.9144151922474232,0.6934800286947189,0.6972304936719895,0.18,0.96,4.68,57,c2,nursery
XGB_1,0.9001543507621069,0.9058641975308642,0.6934800286947189,0.6972304936719895,0.8523202978808365,0.8606057239885425,0.910740359508971,0.9144151922474232,0.6934800286947189,0.6972304936719895,0.18,0.96,4.68,57,c2,nursery
