dataset,model_type,model_number,bacc_train,bacc_test,kappa_train,kappa_test,recall_train,recall_test,model,size
seismic-bumps,SVC,0,0.5006535947712418,0.4989669421487603,0.00241492315774551,-0.0030752532561505,0.5006535947712418,0.4989669421487603,SVC_0,2584
seismic-bumps,XGB,2,0.9986928104575163,0.527150485035412,0.9985964869878868,0.02754983473646608,0.9986928104575163,0.527150485035412,XGB_2,2584
madelon,RF,1,1,0.7307692307692307,1,0.4615384615384616,1,0.7307692307692307,RF_1,2600
madelon,SVC,0,0.9373504273504274,0.6788461538461539,0.8747008547008547,0.3576923076923077,0.9373504273504274,0.6788461538461539,SVC_0,2600
madelon,XGB,2,1,0.8092307692307692,1,0.6184615384615384,1,0.8092307692307692,XGB_2,2600
dna,RF,1,0.9997687373068922,0.9490316975351852,0.9995462794333352,0.929414941655222,0.9997687373068922,0.9490316975351852,RF_1,3186
dna,SVC,0,0.9950939733297408,0.9606924531116036,0.9921749345503746,0.9379963322615238,0.9950939733297408,0.9606924531116036,SVC_0,3186
dna,XGB,0,0.9769048558435154,0.9613956578192469,0.963982359550313,0.9381031822069278,0.9769048558435154,0.9613956578192469,XGB_0,3186
splice,RF,2,0.9997433652787556,0.9521925615425932,0.999546996279065,0.9324994683134792,0.9997433652787556,0.9521925615425932,RF_2,3190
splice,SVC,0,0.995475388374153,0.9621131278360194,0.9928086023000146,0.9420286528874872,0.995475388374153,0.9621131278360194,SVC_0,3190
splice,XGB,1,0.9997434500131008,0.958218620666306,0.99954699633497,0.9368962555164329,0.9997434500131008,0.958218620666306,XGB_1,3190
kr-vs-kp,RF,0,1,0.9647439383359184,1,0.9302391911287295,1,0.9647439383359184,RF_0,3196
kr-vs-kp,SVC,1,0.9724532224432952,0.9474757399545596,0.9435777683671984,0.8950275190574348,0.9724532224432952,0.9474757399545596,SVC_1,3196
kr-vs-kp,XGB,1,0.9981816276013272,0.9757922107281825,0.996446545387464,0.9516264394453656,0.9981816276013272,0.9757922107281825,XGB_1,3196
wilt,RF,2,0.9997872340425532,0.8788264421155977,0.9997746459923984,0.8138206880428283,0.9997872340425532,0.8788264421155977,RF_2,4839
wilt,SVC,1,0.8104631522555862,0.8118374573815412,0.6724252216499541,0.6686055488857422,0.8104631522555862,0.8118374573815412,SVC_1,4839
wilt,XGB,1,1,0.9093063460869448,1,0.8493284586732575,1,0.9093063460869448,XGB_1,4839
churn,RF,0,0.9998428907121628,0.8695724261544766,0.9998168872994296,0.8119113989875741,0.9998428907121628,0.8695724261544766,RF_0,5000
churn,SVC,1,0.5786869479942516,0.5762342352483197,0.21374292935381364,0.2065646090293413,0.5786869479942516,0.5762342352483197,SVC_1,5000
churn,XGB,2,1,0.8729985987372165,1,0.8024324768089857,1,0.8729985987372165,XGB_2,5000
phoneme,RF,2,1,0.89242782273665,1,0.7938692534066675,1,0.89242782273665,RF_2,5404
phoneme,SVC,0,0.8226058548393722,0.8097848014325619,0.6467426910625916,0.621402213143759,0.8226058548393722,0.8097848014325619,SVC_0,5404
phoneme,XGB,2,1,0.8737697276848694,1,0.7566171977458641,1,0.8737697276848694,XGB_2,5404
wall-robot-navigation,RF,0,1,0.9928077149379044,1,0.9922548739686854,1,0.9928077149379044,RF_0,5456
wall-robot-navigation,SVC,2,0.918054461150354,0.879096332226852,0.8985739986689114,0.8491959933691942,0.918054461150354,0.879096332226852,SVC_2,5456
wall-robot-navigation,XGB,0,1,0.9949693025371436,1,0.9961235577125294,1,0.9949693025371436,XGB_0,5456
mushroom,RF,1,1,0.964259052789762,1,0.9290946524525192,1,0.964259052789762,RF_1,8124
mushroom,SVC,1,1,0.9822482912404868,1,0.9651564856504752,1,0.9822482912404868,SVC_1,8124
mushroom,XGB,2,1,0.9656842309370304,1,0.9320435997550036,1,0.9656842309370304,XGB_2,8124
har,RF,2,1,0.981597130555092,1,0.9778059358516292,1,0.981597130555092,RF_2,10299
har,SVC,1,0.9935037756405976,0.988030170961914,0.99159025072009,0.9846987814177712,0.9935037756405976,0.988030170961914,SVC_1,10299
har,XGB,1,1,0.9942299501173778,1,0.9928750573953978,1,0.9942299501173778,XGB_1,10299
nursery,RF,1,1,0.7016160026294183,1,0.7134085982937289,1,0.7016160026294183,RF_1,12960
nursery,SVC,0,0.8,0.9383839485908712,0.9997738994274414,0.9770599365422944,0.8,0.9383839485908712,SVC_0,12960
nursery,XGB,1,0.8,0.8885883804325465,0.9997738994274414,0.8651133954136265,0.8,0.869408052563694,XGB_1,12960
nomao,RF,2,0.99989841988775,0.9620411797652296,0.9998340929401386,0.9269601144987646,0.99989841988775,0.9620411797652296,RF_2,34465
nomao,SVC,0,0.942281482499318,0.9404260923556864,0.8884171788722601,0.884724494851489,0.942281482499318,0.9404260923556864,SVC_0,34465
nomao,XGB,2,0.9994187719187412,0.967790535893076,0.998901824759026,0.9377820218120098,0.9994187719187412,0.967790535893076,XGB_2,34465
