model_bb,bb_num,model_rk,rk_cat,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,avg_rule_coverage,avg_rule_precision,avg_rule_quality,rules_count,dataset,model,approx,filter_key
SVC,0,RK,C2,0.9835164835164836,0.9635036496350364,0.9809780132148552,0.9765749601275916,0.9817860359609034,0.9598146192655168,2.5499995427797773,2.5031237934680703,0.9809780132148552,0.9765749601275916,0.04605688429217839,0.9886856177877849,0.8353646536320456,34,soybean,SVC_0,RK_C2,soybean_SVC_0
SVC,0,RK,Corr,0.9761904761904762,0.978102189781022,0.9816128239258431,0.9831539074960128,0.9737031246526724,0.9759099701072622,2.5214043650388884,2.5567150397994487,0.9816128239258431,0.9831539074960128,0.05523809523809521,0.9891447368421052,0.9214639194232428,25,soybean,SVC_0,RK_Corr,soybean_SVC_0
SVC,0,RK,Prec,0.9798534798534798,0.9343065693430656,0.9796622237411712,0.9388556618819778,0.9777360127222784,0.9274278987639788,2.535325451938803,2.38552209062913,0.9796622237411712,0.9388556618819778,0.03428741800834822,1,1,43,soybean,SVC_0,RK_Prec,soybean_SVC_0
XGB,2,RK,C2,0.9166666666666666,0.8623188405797102,0.9160136628491058,0.8647008728975942,0.8302923366884549,0.7232425585813806,0.398385327436401,0.2932469109421668,0.9160136628491058,0.8647008728975942,0.2583612040133779,0.9268162797522096,0.6286467593748987,26,credit-a,XGB_2,RK_C2,credit-a_XGB_2
XGB,2,RK,Corr,0.8532608695652174,0.8260869565217391,0.8348603576451679,0.8117947626144347,0.691019155817232,0.6388222464558342,0.2817240027647768,0.23313875133603537,0.8348603576451679,0.8117947626144347,0.4796195652173913,0.7873064801858514,0.5410262306729168,8,credit-a,XGB_2,RK_Corr,credit-a_XGB_2
XGB,2,RK,Prec,0.9818840579710144,0.9057971014492754,0.981514968856741,0.907068341494571,0.963029937713482,0.8099978818047024,0.5927031046308511,0.3790660617119537,0.981514968856741,0.907068341494571,0.08160665760869565,0.989892691333954,0.989892691333954,64,credit-a,XGB_2,RK_Prec,credit-a_XGB_2
RF,2,RK,C2,0.9166666666666666,0.9420289855072465,0.9160136628491058,0.941919191919192,0.8302923366884549,0.8838383838383839,0.398385327436401,0.4709121172436542,0.9160136628491058,0.941919191919192,0.2583612040133779,0.9268162797522096,0.6286467593748987,26,credit-a,RF_2,RK_C2,credit-a_RF_2
RF,2,RK,Corr,0.8532608695652174,0.8333333333333334,0.8348603576451679,0.827020202020202,0.691019155817232,0.6619808306709265,0.2817240027647768,0.27604657370883623,0.8348603576451679,0.827020202020202,0.4796195652173913,0.7873064801858514,0.5410262306729168,8,credit-a,RF_2,RK_Corr,credit-a_RF_2
RF,2,RK,Prec,0.9818840579710144,0.927536231884058,0.981514968856741,0.9267676767676768,0.963029937713482,0.854614412136536,0.5927031046308511,0.43287994725953505,0.981514968856741,0.9267676767676768,0.08160665760869565,0.989892691333954,0.989892691333954,64,credit-a,RF_2,RK_Prec,credit-a_RF_2
SVC,0,RK,C2,1,1,1,1,1,1,0.4534650765650603,0.45056120886630496,1,1,0.5,1,1,2,credit-a,SVC_0,RK_C2,credit-a_SVC_0
SVC,0,RK,Corr,1,1,1,1,1,1,0.4534650765650603,0.45056120886630496,1,1,0.5,1,1,2,credit-a,SVC_0,RK_Corr,credit-a_SVC_0
SVC,0,RK,Prec,1,1,1,1,1,1,0.4534650765650603,0.45056120886630496,1,1,0.5,1,1,2,credit-a,SVC_0,RK_Prec,credit-a_SVC_0
XGB,0,RK,C2,0.97853309481216455,0.9642857142857144,0.9799548475755112,0.9612802685207384,0.9532927627456168,0.916626965221534,0.5520458449737957,0.4691278178408334,0.9799548475755112,0.9612802685207384,0.44695197468006054,0.9800675959385596,0.8941250327676621,13,breast-w,XGB_0,RK_C2,breast-w_XGB_0
XGB,0,RK,Corr,0.9713774597495528,0.9571428571428572,0.9721162745043048,0.9496523615439942,0.9377236836608224,0.8993047230879885,0.5253920854228756,0.44349543439961703,0.9721162745043048,0.9496523615439942,0.4574495272169691,0.9610831168487408,0.892332833300996,7,breast-w,XGB_0,RK_Corr,breast-w_XGB_0
