model_bb,bb_num,model_rk,rk_cat,acc_train,acc_test,bacc_train,bacc_test,kappa_train,kappa_test,mutual_train,mutual_test,recall_train,recall_test,dataset,model,approx,filter_key
SVC,1,RK,C2,0.8992890995260664,0.924170616113744,0.8903010986733002,0.9180851063829788,0.770608172923195,0.8301981691982698,0.31237882117954924,0.37537512410346785,0.8903010986733002,0.9180851063829788,qsar-biodeg,SVC_1,RK_C2,qsar-biodeg_SVC_1
SVC,1,RK,Corr,0.8898104265402843,0.8578199052132701,0.8683924129353233,0.8216818642350557,0.7434600149037142,0.6673673147661587,0.2838401877373157,0.2274636094600571,0.8683924129353233,0.8216818642350557,qsar-biodeg,SVC_1,RK_Corr,qsar-biodeg_SVC_1
SVC,1,RK,Prec,0.8909952606635071,0.909952606635071,0.8812318615257049,0.8966565349544073,0.7519613605581252,0.7961767247953633,0.2956921428834561,0.33735954180462896,0.8812318615257049,0.8966565349544073,qsar-biodeg,SVC_1,RK_Prec,qsar-biodeg_SVC_1
XGB,1,RK,C2,0.976452119309262,0.8495297805642633,0.9764475548749856,0.8500774839000644,0.9738307723277192,0.8323515886745352,2.181057386449751,1.7248891827296793,0.9764475548749856,0.8500774839000644,semeion,XGB_1,RK_C2,semeion_XGB_1
XGB,1,RK,Corr,0.9317111459968604,0.8495297805642633,0.9316156916105192,0.8495938886422756,0.9241120975742684,0.8322487346348518,1.9802406431430528,1.7499911641270312,0.9316156916105192,0.8495938886422756,semeion,XGB_1,RK_Corr,semeion_XGB_1
XGB,1,RK,Prec,0.9803767660910518,0.8244514106583072,0.98030495876988,0.8223211100146584,0.9781907423296122,0.8044423036924324,2.2052556736040727,1.6325227384703016,0.98030495876988,0.8223211100146584,semeion,XGB_1,RK_Prec,semeion_XGB_1
RF,0,RK,C2,0.976452119309262,0.8463949843260188,0.9764475548749856,0.8411525864289098,0.9738307723277192,0.8289244711007016,2.181057386449751,1.714021738660768,0.9764475548749856,0.8411525864289098,semeion,RF_0,RK_C2,semeion_RF_0
RF,0,RK,Corr,0.9317111459968604,0.8746081504702194,0.9316156916105192,0.8706571749861041,0.9241120975742684,0.8603159312088802,1.9802406431430528,1.815980620831234,0.9316156916105192,0.8706571749861041,semeion,RF_0,RK_Corr,semeion_RF_0
RF,0,RK,Prec,0.9803767660910518,0.8213166144200627,0.98030495876988,0.8139210856083261,0.9781907423296122,0.8009807033481825,2.2052556736040727,1.6265393444055831,0.98030495876988,0.8139210856083261,semeion,RF_0,RK_Prec,semeion_RF_0
SVC,0,RK,C2,0.976452119309262,0.8401253918495298,0.9764225237994468,0.8394619750223467,0.9738307185734112,0.8220197135949414,2.181069694615245,1.6698164844434054,0.9764225237994468,0.8394619750223467,semeion,SVC_0,RK_C2,semeion_SVC_0
